category,roll_number,cgpa
overall,23031A0504,9.2
overall,23031A0553,8.93
overall,23031A0530,8.89
overall,24035A0412,8.87
overall,24035A0506,8.87
overall,23031A0524,8.86
overall,24035A0127,8.81
overall,24035A0129,8.81
overall,23031A0548,8.78
overall,24035A0515,8.76
ce,24035A0127,8.81
ce,24035A0129,8.81
ce,24035A0104,8.74
ce,24035A0111,8.69
ce,24035A0134,8.53
ce,24035A0108,8.43
ce,24035A0105,8.39
ce,24035A0116,8.32
ce,24035A0122,8.3
ce,24035A0117,8.28
eee,24035A0218,8.64
eee,23031A0211,8.35
eee,24035A0216,8.25
eee,23031A0231,8.11
eee,24035A0204,7.97
eee,24035A0201,7.92
eee,24035A0217,7.92
eee,24035A0212,7.88
eee,24035A0210,7.84
eee,24035A0207,7.77
mec,24035A0307,8.38
mec,24035A0309,8.33
mec,24035A0323,8.33
mec,24035A0313,8.24
mec,24035A0332,8.22
mec,24035A0301,8.08
mec,24035A0334,8.06
mec,24035A0324,8.06
mec,24035A0317,8.04
mec,24035A0328,7.97
ece,24035A0412,8.87
ece,23031A0457,8.52
ece,24035A0409,8.51
ece,24035A0413,8.49
ece,24035A0402,8.42
ece,23031A0415,8.38
ece,23031A0444,8.31
ece,23031A0456,8.3
ece,23031A0450,8.25
ece,24035A0404,8.22
cse,23031A0504,9.2
cse,23031A0553,8.93
cse,23031A0530,8.89
cse,24035A0506,8.87
cse,23031A0524,8.86
cse,23031A0548,8.78
cse,24035A0515,8.76
cse,24035A0504,8.73
cse,24035A0505,8.7
cse,23031A0532,8.65
